,origin,destination,startdate,deptime,arrtime,stops,duration,layovers,airline,currency,price,url
0,HEL,LON,2023-11-30,10:10 PM,11:20 PM,0,3 hr 10 min,0,Ryanair,USD,28,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
1,HEL,LON,2023-11-30,9:10 AM,10:20 AM,0,3 hr 10 min,0,Norwegian,USD,67,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
2,HEL,LON,2023-11-30,2:00 PM,3:15 PM,0,3 hr 15 min,0,"Finnair, British Airways",USD,135,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
3,HEL,LON,2023-11-30,5:20 AM,4:45 PM,1,13 hr 25 min,565,Air Baltic,USD,94,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
4,HEL,LON,2023-11-30,8:40 AM,4:45 PM,1,10 hr 5 min,365,Air Baltic,USD,94,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
5,HEL,LON,2023-11-30,3:30 PM,4:45 PM+1,1,27 hr 15 min,1395,Air Baltic,USD,94,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
6,HEL,LON,2023-11-30,9:20 PM,4:45 PM+1,1,21 hr 25 min,1045,Air Baltic,USD,94,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
7,HEL,LON,2023-11-30,1:15 PM,4:25 PM,1,5 hr 10 min,70,Scandinavian Airlines,USD,104,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
8,HEL,LON,2023-11-30,1:15 PM,6:30 PM,1,7 hr 15 min,190,"Scandinavian Airlines, Operated by Sas Connect",USD,104,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
9,HEL,LON,2023-11-30,5:20 AM,8:40 AM,1,5 hr 20 min,80,Air Baltic,USD,107,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
